size;array_type;threshold;time_ms
9800;"reversed";5;1.5224
9900;"reversed";5;1.5722
10000;"reversed";5;1.5518
500;"almost_sorted";5;0.0641
600;"almost_sorted";5;0.0689
700;"almost_sorted";5;0.0934
800;"almost_sorted";5;0.1204
900;"almost_sorted";5;0.1302
1000;"almost_sorted";5;0.1327
1100;"almost_sorted";5;0.1415
1200;"almost_sorted";5;0.1476
1300;"almost_sorted";5;0.1645
1400;"almost_sorted";5;0.1966
1500;"almost_sorted";5;0.2289
1600;"almost_sorted";5;0.2458
1700;"almost_sorted";5;0.258
1800;"almost_sorted";5;0.2641
1900;"almost_sorted";5;0.2757
2000;"almost_sorted";5;0.493
2100;"almost_sorted";5;0.2915
2200;"almost_sorted";5;0.2934
2300;"almost_sorted";5;0.3041
2400;"almost_sorted";5;0.3163
2500;"almost_sorted";5;0.3227
2600;"almost_sorted";5;0.3408
2700;"almost_sorted";5;0.3786
2800;"almost_sorted";5;0.407
2900;"almost_sorted";5;0.4751
3000;"almost_sorted";5;0.4761
3100;"almost_sorted";5;0.4975
3200;"almost_sorted";5;0.5105
3300;"almost_sorted";5;0.5189
3400;"almost_sorted";5;0.5244
3500;"almost_sorted";5;0.5511
3600;"almost_sorted";5;0.5491
3700;"almost_sorted";5;0.5755
3800;"almost_sorted";5;0.5799
3900;"almost_sorted";5;0.5843
4000;"almost_sorted";5;0.5951
4100;"almost_sorted";5;0.6009
4200;"almost_sorted";5;0.6096
4300;"almost_sorted";5;0.6193
4400;"almost_sorted";5;0.6561
4500;"almost_sorted";5;0.638
4600;"almost_sorted";5;0.6417
4700;"almost_sorted";5;0.6659
4800;"almost_sorted";5;0.6713
4900;"almost_sorted";5;0.6764
5000;"almost_sorted";5;0.6838
5100;"almost_sorted";5;0.6905
5200;"almost_sorted";5;0.7372
5300;"almost_sorted";5;0.7899
5400;"almost_sorted";5;0.7969
5500;"almost_sorted";5;0.8339
5600;"almost_sorted";5;0.8693
5700;"almost_sorted";5;0.8987
5800;"almost_sorted";5;0.9346
5900;"almost_sorted";5;0.9981
6000;"almost_sorted";5;1.007
6100;"almost_sorted";5;1.0519
6200;"almost_sorted";5;1.0552
6300;"almost_sorted";5;1.0625
6400;"almost_sorted";5;1.0837
6500;"almost_sorted";5;1.4078
6600;"almost_sorted";5;1.0973
6700;"almost_sorted";5;1.1049
6800;"almost_sorted";5;1.121
6900;"almost_sorted";5;1.1464
7000;"almost_sorted";5;1.1799
7100;"almost_sorted";5;1.1544
7200;"almost_sorted";5;1.1656
7300;"almost_sorted";5;1.1871
7400;"almost_sorted";5;1.1822
7500;"almost_sorted";5;1.2551
7600;"almost_sorted";5;1.2137
7700;"almost_sorted";5;1.2389
7800;"almost_sorted";5;1.2354
7900;"almost_sorted";5;1.2296
8000;"almost_sorted";5;1.353
8100;"almost_sorted";5;1.586
8200;"almost_sorted";5;1.9686
8300;"almost_sorted";5;2.0242
8400;"almost_sorted";5;1.3194
8500;"almost_sorted";5;1.3183
8600;"almost_sorted";5;1.3398
8700;"almost_sorted";5;1.3656
8800;"almost_sorted";5;1.3547
8900;"almost_sorted";5;1.3511
9000;"almost_sorted";5;1.406
9100;"almost_sorted";5;1.4117
9200;"almost_sorted";5;1.3953
9300;"almost_sorted";5;1.4003
9400;"almost_sorted";5;1.4227
9500;"almost_sorted";5;1.4442
